Contract #,Client,Brand,Vehicle,Placement ID,Placement Description,Buy Component Type,Data Type,Frequency,Contracted Metric,Notes
21682-9-142978,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,320697,442700|RINAD|AD|MMC|MMCEPVP|Expert Perspectives in AD eNL|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,EP in Atopic Dermatitis eNLs
21682-9-142978,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,320699,442803|RINAD|AD|MMC|MMCVCC|DEF Video Conference Coverage Landing Page|DB|WA|E|NA|TL|NA|NA|NA|AW|SPS|NA|NA|NA|AV|BRD|TLD|NA,Display- Non Targeted,AGG,Monthly,Impressions,DEF Video Conference Coverage Landing Page Views
21682-9-142978,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,320701,442805|RINAD|AD|MMC|MMCVCC|DEF Video Conference Coverage eNLs|DB|EM|N|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,DEF Video Conference Coverage eNLs
21307-9-141056,Genentech USA,Vabysmo PAN,Matrix Medical Communications - Custom Email,316254,431510|VABPAN|PAN|MMC|MMCCE|Custom Email|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|NA|NA|NA,Email,PLD & AGG,Weekly,Opens_unique,Vabysmo Custom Emails
21100-9-141809,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Custom Email,318132,VERBRE|EBC|MMC|MMCCE|UNBRANDED Custom Email |EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|SOA|NA|NA_ID~434774,Email,PLD & AGG,Weekly,Opens_unique,Verzenio Custom Emails
21100-9-141809,Eli Lilly & Company,Verzenio - Breast,Clinical Updates in Breast Cancer,318135,VERBRE|EBC|MMC|CUBC|Target List Clinical Updates eNewsletter|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|None|NA|NA|AV|NM|NA|NA_ID~434808,Email,PLD & AGG,Weekly,Opens_unique,Clinical Updates in Breast Cancer
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
