Contract #,Client,Brand,Vehicle,Placement ID,Placement Description,Buy Component Type,Data Type,Notes
19642-9-141136,"Exelixis, Inc.",Cabometyx NET HCP,Matrix Medical Communications - Expert Perspectives Video Program,316482,429931|CABNET|NEUROTUM|MMC|MMCEPVP|Expert Perspectives Landing Page Banners |DB|WA|E|NA|TL|ACR|NA|NA|AW|NA|None|NA|NA|AV|NA|NA|NA,Display- Non Targeted,AGG,EP in NET Landing Page Views
19062-9-131232,"Exelixis, Inc.",Cabometyx RCC HCP,Matrix Medical Communications - Expert Perspectives Video Program,293258,388202|CABRCC|RCC|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives eNLs|DB|EM|E|NA|TL|TL|NA|NA|AW|ENL|None|NA|NA|NA|NA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Expert Perspectives in RCC Video eNLs
19062-9-131232,"Exelixis, Inc.",Cabometyx RCC HCP,Matrix Medical Communications - Expert Perspectives Video Program,293263,388215|CABRCC|RCC|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives Custom Email|EM|EM|E|NA|TL|TL|NA|NA|AW|OTHER|None|NA|NA|AV|NA|NA|NA,Email,PLD & AGG,Cabometyx RCC Custom Emails
19062-9-138923,"Exelixis, Inc.",Cabometyx RCC HCP,Matrix Medical Communications - Expert Perspectives Video Program,310788,400645|CABRCC|RCC|MMC|MMCEPVP|Expert Perspectives Landing Page Banners|DB|WA|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|NA|NA|NA,Display- Non Targeted,AGG,EP in RCC Landing Page Views
19726-9-133767,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,298928,388126|CALCLLHCP|CLLSLL|MMC|Matrix Medical Communications - Hot Topics in CLL|hot topics in cll display|DB|WA|E|NA|TL|NA|NA|NA|AW|ROS|NA|NA|NA|NA|CALCLL|NA|NA,Display- Non Targeted,AGG,Hot Topics in CLL Digital Edition Page Views
19726-9-133767,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,298933,388128|CALCLLHCP|CLLSLL|MMC|Matrix Medical Communications - Hot Topics in CLL|hot topics in cll email|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|CALCLL|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in CLL New Issue eNL
19726-9-133767,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,298939,388133|CALCLLHCP|CLLSLL|MMC|Matrix Medical Communications - Hot Topics in CLL|hot topics in cll triggered email|EM|EM|E|NA|TL|NA|NA|NA|AW|OTHER|NA|NA|NA|AV|CALCLL|NA|NA,Email- Re-contact / Trigger,PLD & AGG,Calquence CLL Triggered Emails
19716-9-133567,AstraZeneca Oncology,Calquence MCL HCP,Matrix Medical Communications - Hot Topics,298494,388097|CALMCLHCP|BTKMCL|MMC|Matrix Medical Communications - Hot Topics|hot topics in mcl triggered email|EM|EM|E|NA|TL|NA|NA|NA|AW|OTHER|NA|NA|NA|AV|CALMCL|NA|NA,Email- Re-contact / Trigger,PLD & AGG,Calquence MCL Triggered Email
19716-9-133567,AstraZeneca Oncology,Calquence MCL HCP,Matrix Medical Communications - Hot Topics,298507,388111|CALMCLHCP|BTKMCL|MMC|Matrix Medical Communications - Hot Topics|hot topics in mcl email|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|CALMCL|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in MCL New Issue eNL
19716-9-133567,AstraZeneca Oncology,Calquence MCL HCP,Matrix Medical Communications - Hot Topics,298512,388115|CALMCLHCP|BTKMCL|MMC|MMCHTMCL|hot topics in mcl display|DB|WA|E|NA|TL|NA|NA|NA|AW|ROS|NA|NA|NA|NA|CALMCL|NA|NA,Display- Non Targeted,AGG,Hot Topics in MCL Digital Edition Page Views
20602-9-137060,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Hot Topics,306123,VALUE ADD | Hot Topics In Multiple Myeloma | 3 Triggered emails,Email- Re-contact / Trigger,PLD & AGG,Carvykti Triggered Emails
20602-9-137060,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Hot Topics,306124,VALUE ADD | Hot Topics In Multiple Myeloma | eNL,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in Multiple Myeloma New Issue eNL
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Hot Topics: Patient Edition,312551,Multiple Myeloma Patient Edition - Digital Edition,Display- Non Targeted,AGG,Multiple Myeloma Patient Edition Digital Edition Page Views
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Expert Perspectives Video Program,312552,Treatment Perspectives Video Series,Display- Non Targeted,AGG,Treatment Perspectives Video Views
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Audio Advisor Podcast,312554,KOL/Patient Podcast Series,Display- Non Targeted,AGG,Dialogues in Multiple Myeloma Landing Page Views
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Targeted Display,312555,Display Targeting,Display- Non Targeted,AGG,Patient Program Display Ad Targeting (data pulled from Basis)
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Hot Topics: Patient Edition,314363,Patient Edition eNL,e-Newsletters- Targeted/Programmatic,PLD & AGG,Multiple Myeloma Patient Edition New Issue eNL
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Expert Perspectives Video Program,314365,Treatment Perspectives Video Series eNLs,e-Newsletters- Targeted/Programmatic,PLD & AGG,Treatment Perspectives Video eNLs
20602-9-139594,J&J Innovative Medicine,Carvykti,Matrix Medical Communications - Audio Advisor Podcast,314366,KOL/Patient Podcast Series eNLs,e-Newsletters- Targeted/Programmatic,PLD & AGG,Patient Podcast eNLs
20362-9-139069,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Expert Perspectives Video Program,311242,417696|CARVNUR|RRM|AW|SOC|REAC|TP|Matrix Medical Communications|E|NA|GEOT|CRDV|EM|NA|DB|NA|NA|TBD|2P|NA|NA|NA|NA|BR|GeoTargeting Social Promotional Package Add On,Display- Non Targeted,AGG,Expert Perspectives in Multiple Myeloma Display Ads (Basis)
20362-9-139069,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Expert Perspectives Video Program,311243,417700|CARVNUR|RRM|AW|EM|REAC|TP|Matrix Medical Communications|E|NA|GEOT|CRDV|EM|NA|DB|NA|NA|TBD|2P|NA|NA|NA|NA|BR|Expert Perspectives Triggered Email,Email,AGG,Expert Perspectives in Multiple Myeloma Rep Triggered Emails
20362-9-139069,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Expert Perspectives Video Program,311244,417702|CARVNUR|RRM|AW|OLV|REAC|TP|Matrix Medical Communications|E|NA|TL|CRDV|WA|NA|DB|NA|NA|TBD|1P|NA|NA|NA|NA|BR|Expert Perspectives KOL Video Series,Display- Non Targeted,AGG,Expert Perspectives in Multiple Myeloma Landing Page Views
20362-9-139072,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Video Conference Coverage,311246,417708|CARVNUR|RRM|AW|SOC|REAC|TP|Matrix Medical Communications|E|NA|GEOF|NA|wa|NA|DB|NA|NA|NONE|2p|NA|NONE|NA|NA|BR|GeoTargeting Social Promotional Package Add On,Social,AGG,Geotargeting Social Promo via Basis
20362-9-139072,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Video Conference Coverage,311248,417821|CARVNUR|RRM|AW|OLV|REAC|TP|Matrix Medical Communications|E|NA|TL|CRDV|WA|NA|DB|NA|NA|TBD|1P|NA|NA|NA|NA|BR|JADPRO Video Conference Coverage,Display- Non Targeted,AGG,JADPRO Video Conference Coverage Landing Page Views
20362-9-139072,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Video Conference Coverage,311249,417827|CARVNUR|RRM|AW|EM|REAC|TP|Matrix Medical Communications|E|NA|TL|CRDV|EM|NA|DB|NA|NA|TBD|1P|NA|NA|NA|NA|BR|JADPRO Daily eNL,e-Newsletters- Targeted/Programmatic,PLD & AGG,JADPRO Video Conference Coverage Daily eNLs
20362-9-139072,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Video Conference Coverage,311250,417832|CARVNUR|RRM|AW|OLV|REAC|TP|Matrix Medical Communications|E|NA|TL|CRDV|WA|NA|DB|NA|NA|TBD|1P|NA|NA|NA|NA|BR|ASH Video Conference Coverage,Display- Non Targeted,AGG,ASH Video Conference Coverage Landing Page Views
20362-9-139072,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Video Conference Coverage,311254,417834|CARVNUR|RRM|AW|EM|REAC|TP|Matrix Medical Communications|E|NA|TL|CRDV|EM|NA|DB|NA|NA|TBD|1P|NA|NA|NA|NA|BR|ASH Daily eNL,e-Newsletters- Targeted/Programmatic,PLD & AGG,ASH Video Conference Coverage Daily eNLs
20362-9-139069,J&J Innovative Medicine,Carvykti Nurse,Matrix Medical Communications - Expert Perspectives Video Program,312514,420832|CARVNUR|RRM|AW|DT|REAC|NT|Matrix Medical Communications|E|NA|TL|CRDV|EM|ENL|DB|NA|NA|NONE|1P|NA|NONE|AV|NA|BR|Expert Perspectives New Video eNL,e-Newsletters- Targeted/Programmatic,PLD & AGG,Expert Perspectives in Multiple Myeloma eNL
21266-9-140861,AstraZeneca Oncology,Imfinzi GU HCP,Matrix Medical Communications - Conference Show Dailies,315791,429038|IMFGUHCP|GIU|MMC|MMCCSD|2025 potomac conference show dailies enl|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|NIL|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,SUO Show Dailies eNLs
21266-9-140861,AstraZeneca Oncology,Imfinzi GU HCP,Matrix Medical Communications - Conference Show Dailies,315794,429045|IMFGUHCP|GIU|MMC|MMCCSD|2025 potomac conference show dailies enl av|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|AV|NIL|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,SUO Show Dailies Wrap-up eNL
19744-9-141116,AstraZeneca Oncology,IMFINZI Lung HCP,Matrix Medical Communications - Custom Email,316439,430775|IMFLUNGHCP|LC|MMC|MMCCE|q4 incremental sclc custom emails|EM|EM|E|NA|TL|TL|NA|NA|AW|NA|NA|NA|NA|NA|SCLC|NA|NA,Email,PLD & AGG,Imfinzi SCLC Custom Emails
20835-9-137451,Eli Lilly & Company,Imlunestrant Branded,Matrix Medical Communications - Hot Topics,307076,410752|IMLUBR|BC|MMC|MMCHTBC|Hot Topics in BC eNLs|DB|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|SOA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in Breast Cancer New Issue eNL
20835-9-137451,Eli Lilly & Company,Imlunestrant Branded,Matrix Medical Communications - Custom Email,307079,410750|IMLUBR|BC|MMC|MMCCE|Custom Email|EM|EM|E|NA|TL|NA|NA|NA|AW|SPS|None|NA|NA|NA|SOA|NA|NA,Email,PLD & AGG,Imlunestrant Branded Custom Emails
20835-9-137451,Eli Lilly & Company,Imlunestrant Branded,Matrix Medical Communications - Hot Topics,307080,410763|IMLUBR|BC|MMC|MMCHTBC|Hot Topics Traffic Driver eNL|DB|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|SOA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in Breast Cancer Traffic Driver eNL
20835-9-137451,Eli Lilly & Company,Imlunestrant Branded,Matrix Medical Communications - Hot Topics,307082,410765|IMLUBR|BC|MMC|MMCHT|Hot Topics Digital Edition Cover 0|DB|WA|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|SOA|NA|NA,Display- Non Targeted,AGG,Hot Topics in Breast Cancer Cover 0 Page Views
19507-9-135579,Eli Lilly & Company,Kisunla,Matrix Medical Communications - Hot Topics,302961,403004|KIS|ALZ|MMC|Matrix Medical Communications - Hot Topics|Hot Topics In ALZ New NA|NA|AW|NA|NA|NA|NA|NA|NM|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in Alzheimer's Disease New Issue eNL
19507-9-135579,Eli Lilly & Company,Kisunla,Matrix Medical Communications - Hot Topics,302967,403012|KIS|ALZ|MMC|Matrix Medical Communications - Hot Topics|Digital Display Cover 0|DB|WA|N|NA|TL|NA|NA|NA|AW|NA|NA|NA|NA|NA|NM|NA|NA,Display- Non Targeted,AGG,Hot Topics in Alzheimer's Disease Cover 0 Page Views
19964-9-140021,"Galderma Laboratories, L.P.",Nemluvio,Matrix Medical Communications - Expert Perspectives Video Program,313678,423119|NEMO|PN|MMC|MMCEPVP|Expert Perspectives in PN Video Program Newsletter|DB|EM|E|NA|TL|OTHER|NA|NA|AW|ENL|NA|NA|NA|NA|NA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Expert Perspectives in Prurigo Nodularis eNLs
19528-9-138097,Genentech USA,Phesgo,Matrix Medical Communications - Conference Show Dailies,308587,413523|PHE|BC|MMC|MMCCSD|Show Dailies eNLs|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|US|NA|NA|NA|NA|NA|NA,e-Newsletters- Targeted/Programmatic,AGG,ONS Show Dailies eNLs
19528-9-138097,Genentech USA,Phesgo,Matrix Medical Communications - Conference Show Dailies,308588,413527|PHE|BC|MMC|MMCCSD|Show Dailies Wrap Up eNL AV|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|US|NA|NA|AV|NA|NA|NA,e-Newsletters- Targeted/Programmatic,AGG,ONS Show Dailies Wrap-up eNL
19528-9-138317,Genentech USA,Phesgo,Matrix Medical Communications - Conference Show Dailies,309083,414673|PHE|BC|MMC|MMCCSD|Dailies Conference AV Display|DB|WA|E|NA|SPT|NA|NA|NA|AW|NA|US|NA|NA|NA|NA|NA|NA,Display- Non Targeted,AGG,ONS Show Dailies Landing Page Views
19626-9-131027,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,292888,383639|RINAD|AD|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives in Atopic Dermatitis TL eNLs |DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Expert Perspectives in AD Target List eNL
19626-9-131027,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,292893,383653|RINAD|AD|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives in Atopic Dermatitis SP eNLs |DB|EM|E|NA|SPT|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,AGG,Expert Perspectives in AD JCAD Audience eNL
19626-9-131027,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,292904,382905|RINAD|AD|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives Landing Page AV|DB|WA|E|NA|CTL|NA|NA|NA|AW|SPS|NA|NA|NA|AV|BRD|CS|NA,Display- Non Targeted,AGG,Expert Perspectives in AD Landing Page Views
19204-9-134791,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),301277,399364|SKY|PSO|MMC|Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD)|Maui Derm Conference Coverage Landing Page|DB|WA|E|NA|SPT|NA|NA|NA|AW|ROS|NA|NA|NA|NA|BRD|SPCTX|NA,Display- Non Targeted,AGG,Maui Derm NP+PA Conference Coverage Landing Page Views
19204-9-134791,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),301281,399366|SKY|PSO|MMC|Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD)|AAD Conference Coverage Landing Page|DB|WA|E|NA|SPT|NA|NA|NA|AW|ROS|NA|NA|NA|NA|BRD|SPCTX|NA,Display- Non Targeted,AGG,AAD Summer Conference Coverage Landing Page Views
19204-9-134791,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),301283,399368|SKY|PSO|MMC|Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD)|Maui Derm Conference Coverage eNL|DB|EM|E|NA|SPT|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,AGG,Maui Derm NP+PA Conference Coverage eNLs
19204-9-134791,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),301284,399370|SKY|PSO|MMC|Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD)|AAD Conference Coverage eNL|DB|EM|E|NA|SPT|NA|NA|NA|AW|ENL|NA|NA|NA|NA|BRD|ENL|NA,e-Newsletters- Targeted/Programmatic,AGG,AAD Summer Conference Coverage eNLs
19544-9-130873,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,292548,376283|TAGHCP|LC|MMC|Matrix Medical Communications - Hot Topics|custom emails flaura|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|FLAURA|NA|NA,Email,PLD & AGG,Tagrisso Custom Emails (FLAURA indication)
19544-9-130873,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,292553,377106|TAGHCP|LC|MMC|Matrix Medical Communications - Hot Topics|custom emails adaura|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|ADAURA|NA|NA,Email,PLD & AGG,Tagrisso Custom Emails (ADAURA indication)
19544-9-130873,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,292558,377116|TAGHCP|LC|MMC|Matrix Medical Communications - Hot Topics|custom emails laura|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|LAURA|NA|NA,Email,PLD & AGG,Tagrisso Custom Emails (LAURA indication)
19544-9-130873,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,306963,410546|TAGHCP|LC|MMC|MMCHT|makegood custom email laura|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|MK|LAURA|NA|NA,Email,PLD & AGG,Tagrisso Custom Emails (LAURA indication)
19544-9-130873,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,321033,445024|TAGHCP|LC|MMC|HTNSCLC|makegood custom email adaura |EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|MK|ADAURA|NA|NA,Email,PLD & AGG,Tagrisso Custom Emails (ADAURA indication)
19902-9-133797,AstraZeneca Oncology,Truqap HCP,Matrix Medical Communications - Hot Topics,299051,382517ITRUQHCPIBCIMMCIMatrix Medical Communications - Hot Topicslmatrix hot topics in metastatic breast cancerlDBI EMIEINAITLITLINAINAIAWIOTHERINAINAINAINAITRUBCINAINA,Display- Non Targeted,AGG,Hot Topics in Metastatic Breast Cancer Digital Edition Page Views
19902-9-133797,AstraZeneca Oncology,Truqap HCP,Matrix Medical Communications - Hot Topics,299056,382749ITRUQHCPIBCIMMCIMatrix Medical Communications - Hot Topicslmatrix hot topics in mbc new issue enllDBIEMIEI NAITLITLINAINAIAWIENLINAINAINAINAITRUBCINAINA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in Metastatic Breast Cancer New Issue eNL
19902-9-133797,AstraZeneca Oncology,Truqap HCP,Matrix Medical Communications - Hot Topics,299066,3827401TRUQHCPIBCIMMCIMatrix Medical Communications - Hot Topicslmatrix hot topics in mbc triggered email avlEMI EMIEINAITLITLINAINAIAWIENLINAINAINAIAVITRUBCINAINA,Email- Re-contact / Trigger,PLD & AGG,Truqap Triggered Emails
19480-9-129818,Genentech USA,Vabysmo,Matrix Medical Communications - Custom Email,289793,377439|VABPAN|PAN|MMC|Matrix Medical Communications - Custom Email|Custom Email|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|NA|NA|NA,Email,PLD & AGG,Vabysmo Custom Emails
19351-9-130248,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Custom Email,290897,377007|VERBRE|mBC|MMC|Matrix Medical Communications - Custom Email|Custom Email|EM|EM|E|NA|TL|NA|NA|NA|AW|SPS|NA|NA|NA|NA|SOA|NA|NA,Email,PLD & AGG,Verzenio Custom Emails
19351-9-130248,Eli Lilly & Company,Verzenio - Breast,Clinical Updates in Breast Cancer,290969,379743|VERBRE|mBC|MMC|CUBC|Target List Multichannel eNewsletters|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|AV|NM|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Clinical Updates in Breast Cancer
